1188k  125.126.211.213:9999
1132k  115.203.197.255:9999
1122k  115.207.210.81:8888
1083k  60.184.42.68:8888
1080k  183.155.165.250:8888
1033k  115.207.211.106:8889
1027k  125.126.64.60:9999
1023k  115.207.211.106:8888
1017k  115.207.210.81:8889
1010k  183.156.178.200:9999
1006k  60.184.42.68:8889
992k  125.113.88.160:8888
338k  115.221.83.34:8888
